date,open_cny,open_usd,high_cny,high_usd,low_cny,low_usd,close_cny,close_usd,volume,market_cap_usd
2019-01-01,28406.42839865,4129.70383286,28567.86377521,4153.21117528,26131.38520213,3798.99462911,26138.54676134,3800.03578038,110.42041425,419601.52503415
2019-01-02,26138.57720402,3800.04020615,29430.72450284,4288.88002872,26136.67773098,3799.81947298,29394.39365488,4283.58560764,1787.40521883,7656503.27039531
2019-01-03,29377.13930423,4281.07116597,29776.19474546,4339.28813456,28747.02227029,4183.21033668,28861.31340336,4199.84175835,3383.52875257,14210285.34562850
2019-01-04,28868.00883007,4200.81606372,29117.99995047,4238.67464112,28502.34932116,4149.17591503,29045.67150732,4228.14587066,3066.48940085,12965564.49763211
2019-01-05,29046.01259060,4228.19552177,29298.57323977,4264.96049261,28908.27547814,4208.20656747,28908.27547814,4208.20656747,3667.38587179,15433117.31111407
2019-01-06,28922.46891377,4210.27272009,30691.00150617,4467.71977796,28853.18267325,4200.18665277,30583.93207959,4452.19841150,3627.89335345,16152101.02530962
2019-01-07,30555.02194672,4447.98987326,30701.37541671,4469.29500449,30272.85678102,4417.71829429,30379.16132929,4434.28031015,3582.88693622,15887524.99477261
2019-01-08,30379.84695195,4434.38038675,30860.38246656,4503.06183493,30119.70582416,4391.70594839,30217.80601693,4409.34055159,3322.48539511,14649969.58472340
2019-01-09,30209.14239329,4408.07636759,30518.20846458,4469.63333498,30075.72190011,4408.07636759,30136.21636463,4420.99378688,3797.81138173,16790100.52238228
2019-01-10,30149.84003054,4422.99238358,30283.57459584,4449.14423354,27072.81175498,3988.06964125,27234.21076500,4011.87485807,3937.25408252,15795770.66350782
2019-01-11,27222.22821578,4010.10970731,27350.57906099,4041.82247043,26878.49930175,3982.11794423,27107.08555679,4008.32284671,4114.84009028,16493607.54443687
2019-01-12,27134.84958935,4012.42831227,27261.19092028,4031.11039604,26994.68779423,3991.70259742,27020.07584285,3995.39781781,2046.13409028,8175119.67924150
2019-01-13,27027.10824410,3996.43768315,27115.85922887,4009.56109158,26192.49056130,3873.02464435,26247.53944626,3881.07089512,2679.19567484,10398148.35596278
2019-01-14,26254.88086607,3882.15642814,27424.73368205,4052.08804493,26232.56814378,3878.85717576,27334.50630355,4038.78646995,3312.02418855,13376558.48085065
2019-01-15,27334.99265165,4038.85832989,27416.08957714,4050.72092648,26677.60291259,3945.80714738,26812.35387232,3965.73777240,3409.14457313,13519773.40522456
2019-01-16,26769.67856760,3959.42579141,27241.00548318,4028.30427639,26741.32404137,3955.23195538,27015.05470179,3998.02494294,3389.52109915,13551389.89903628
2019-01-17,26991.60727020,3994.55489939,27245.79785428,4020.74848736,26912.15112311,3974.90596223,27221.66800987,4017.18756997,3207.29772393,12884316.54976483
2019-01-18,27234.30790812,4019.05287970,27368.42759867,4036.70321821,27047.48652862,3990.01086488,27180.43417299,4009.62313254,3275.11471144,13131975.70871746
2019-01-19,27176.47727007,4009.03941525,27886.12834349,4113.72624041,27176.47727007,4009.03941525,27701.07425973,4086.42729697,3026.17825822,12366257.43989473
2019-01-20,27693.81662625,4085.35666010,27892.91391804,4114.72723975,26604.99820354,3924.73554908,26813.41916784,3955.48154506,3072.26428530,12152284.68204051
2019-01-21,26805.93935677,3954.37813283,26859.48385274,3962.18296672,26569.36076371,3908.23606382,26678.12023172,3924.29172950,2873.22715924,11275381.57798684
2019-01-22,26676.52005485,3924.05634707,27117.62730234,3983.28332678,26586.43653912,3905.29043549,27059.98563428,3974.73358846,2589.74675866,10293553.42725338
2019-01-23,27054.59454014,3973.94171210,27083.84375497,3984.60272331,26683.76045557,3928.76239058,26843.95743119,3952.34886573,2787.17660506,11015894.29361193
2019-01-24,26849.35392555,3953.14341432,26974.23434184,3973.46062791,26700.53092999,3932.26054018,26897.53949434,3962.10466949,2609.12156215,10337612.72467130
2019-01-25,26906.54264913,3963.43086670,26988.18090192,3979.91238189,26581.41366555,3932.94715832,26705.94311281,3957.22736252,2507.09601382,9921148.94635798
2019-01-26,26704.62735105,3957.03239587,27075.04545197,4011.92012772,26682.63145411,3953.77309269,26766.58565433,3966.21323970,2458.70108549,9751732.79772467
2019-01-27,26763.06943221,3965.69221371,26850.60688509,3978.66331914,26613.31145686,3943.50140939,26787.37922765,3970.02675165,2474.35734910,9823264.86907990
2019-01-28,26783.90289462,3969.51154130,26783.97438424,3969.58400927,25669.11698629,3805.48201882,25868.82343631,3835.14542752,3666.80205274,14062719.12620248
2019-01-29,25862.08982421,3834.14714549,25879.76801099,3836.71132395,25342.51975388,3761.91535253,25634.50866127,3807.35027422,3690.03344037,14049249.83106005
2019-01-30,25637.39066821,3807.77832260,25883.34979160,3853.69611341,25495.63117705,3787.34109181,25852.47408986,3849.15650984,3084.76852437,11873756.84693510
2019-01-31,25845.46427929,3848.11282413,25930.62886343,3861.35773725,25554.68451307,3813.90429264,25628.16821237,3824.70015478,3176.98666007,12151021.37049446
